# Downloaded from finance.yahoo.com
Date,Open,High,Low,Close,Volume,Adj Close
2011-02-07,443.783,443.783,443.783,443.783,000,443.783
2011-02-04,440.804,440.804,440.804,440.804,000,440.804
2011-02-03,441.459,441.459,441.459,441.459,000,441.459
2011-02-02,444.219,444.219,444.219,444.219,000,444.219
2011-02-01,442.176,442.176,442.176,442.176,000,442.176
2011-01-31,430.237,430.237,430.237,430.237,000,430.237
2011-01-28,430.233,430.233,430.233,430.233,000,430.233
2011-01-27,431.558,431.558,431.558,431.558,000,431.558
2011-01-26,427.88,427.88,427.88,427.88,000,427.88
2011-01-25,422.99,422.99,422.99,422.99,000,422.99
2011-01-24,429.063,429.063,429.063,429.063,000,429.063
2011-01-21,430.884,430.884,430.884,430.884,000,430.884
2011-01-20,425.098,425.098,425.098,425.098,000,425.098
2011-01-19,435.917,435.917,435.917,435.917,000,435.917
2011-01-18,443.16,443.16,443.16,443.16,000,443.16
2011-01-17,438.782,438.782,438.782,438.782,000,438.782
2011-01-14,441.834,441.834,441.834,441.834,000,441.834
2011-01-13,443.611,443.611,443.611,443.611,000,443.611
2011-01-12,446.22,446.22,446.22,446.22,000,446.22
2011-01-11,442.603,442.603,442.603,442.603,000,442.603
2011-01-10,438.535,438.535,438.535,438.535,000,438.535
2011-01-07,439.924,439.924,439.924,439.924,000,439.924
2011-01-06,441.011,441.011,441.011,441.011,000,441.011
2011-01-05,440.747,440.747,440.747,440.747,000,440.747
2011-01-04,438.806,438.806,438.806,438.806,000,438.806
2011-01-03,443.208,443.208,443.208,443.208,000,443.208
2010-12-31,439.724,439.724,439.724,439.724,000,439.724
2010-12-30,439.724,439.724,439.724,439.724,000,439.724
2010-12-29,440.856,440.856,440.856,440.856,000,440.856
2010-12-28,440.714,440.714,440.714,440.714,000,440.714
2010-12-27,437.654,437.654,437.654,437.654,000,437.654
2010-12-23,438.448,438.448,438.448,438.448,000,438.448
2010-12-22,437.376,437.376,437.376,437.376,000,437.376
2010-12-21,435.296,435.296,435.296,435.296,000,435.296
2010-12-20,428.246,428.246,428.246,428.246,000,428.246
2010-12-17,424.913,424.913,424.913,424.913,000,424.913
2010-12-16,420.216,420.216,420.216,420.216,000,420.216
2010-12-15,418.771,418.771,418.771,418.771,000,418.771
